ptbxl_plus_feature,base_feature,location,summary_statistic,derivability,description_found,description_id,ecgdeli_feature,unit,description,comment,recipe_status,still_missing_for_exact_reproduction
P_Morph_aVL,P_Morph,aVL,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVL_iqr,P_Morph,aVL,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVL_count,P_Morph,aVL,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVR,P_Morph,aVR,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVR_iqr,P_Morph,aVR,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVR_count,P_Morph,aVR,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_I,QT_IntCorr,I,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_I_iqr,QT_IntCorr,I,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_I_count,QT_IntCorr,I,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_II,QT_IntCorr,II,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_II_iqr,QT_IntCorr,II,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_II_count,QT_IntCorr,II,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_III,QT_IntCorr,III,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_III_iqr,QT_IntCorr,III,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_III_count,QT_IntCorr,III,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V1,QT_IntCorr,V1,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V1_iqr,QT_IntCorr,V1,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V1_count,QT_IntCorr,V1,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V2,QT_IntCorr,V2,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V2_iqr,QT_IntCorr,V2,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V2_count,QT_IntCorr,V2,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V3,QT_IntCorr,V3,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V3_iqr,QT_IntCorr,V3,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V3_count,QT_IntCorr,V3,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V4,QT_IntCorr,V4,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V4_iqr,QT_IntCorr,V4,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V4_count,QT_IntCorr,V4,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V5,QT_IntCorr,V5,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V5_iqr,QT_IntCorr,V5,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V5_count,QT_IntCorr,V5,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V6,QT_IntCorr,V6,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V6_iqr,QT_IntCorr,V6,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V6_count,QT_IntCorr,V6,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVF,QT_IntCorr,aVF,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVF_iqr,QT_IntCorr,aVF,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVF_count,QT_IntCorr,aVF,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVL,QT_IntCorr,aVL,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVL_iqr,QT_IntCorr,aVL,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVL_count,QT_IntCorr,aVL,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVR,QT_IntCorr,aVR,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVR_iqr,QT_IntCorr,aVR,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_aVR_count,QT_IntCorr,aVR,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_I,ST_Elev,I,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_I_iqr,ST_Elev,I,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_I_count,ST_Elev,I,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_II,ST_Elev,II,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_II_iqr,ST_Elev,II,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
